,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,core_cnt,top10Degreemean,top10Degreestd,token
0,2,1,2021-12-30,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,1,1.0,0.0,Euler
1,3,2,2022-06-21,1.3333333333333333,0.5773502691896257,1.5,0.7071067811865476,1.125,0.6666666666666666,0.28867513459481287,0.0,0.0,0.0,0.0,0.5690356063072538,0.11957306608013357,0.7777777777777777,0.1924500897298753,1,1.0,1,1.5,0.7071067811865476,Euler
2,7,6,2022-06-22,1.7142857142857142,1.1126972805283735,3.0,1.4142135623730951,1.75,0.2857142857142857,0.1854495467547289,0.0,0.0,0.3194444444444443,0.0,0.34646061875486955,0.16317438400065074,0.4781789638932495,0.11475180799444137,1,1.0,1,3.0,1.4142135623730951,Euler
3,741,1110,2022-06-23,2.9959514170040484,22.755782985045936,379.5,304.763022691402,126.67094594594595,0.004048582995951462,0.030751058087899522,0.211059781051551,0.3954325651011532,0.4451124097070044,0.0023838025262115084,0.024990334471155007,0.0269442126017176,0.4035514165407034,0.0711419895600038,3,0.9946018893387314,2,379.5,304.763022691402,Euler
4,1530,2201,2022-06-24,2.877124183006536,29.429910299552926,726.0,511.9453095790604,252.335302135393,0.0018817031935948892,0.01924781576164282,0.11718418149158605,0.3097905064055147,0.48383535962444113,0.0008194814453491426,0.0163262820205032,0.01967994980077302,0.3385351587493419,0.09125025625752504,23,0.9660130718954248,2,726.0,511.9453095790604,Euler
5,589,656,2022-06-25,2.2275042444821733,17.913696847579878,260.5,232.63813101037414,116.94702743902438,0.0037882725246295716,0.030465470829217516,0.04917263526741067,0.2111022570269441,0.4789199602171325,0.0009143457698370993,0.026427457875001472,0.031639879414500645,0.32584757512593837,0.08977435112937421,7,0.9626485568760611,2,260.5,232.63813101037414,Euler
6,137,164,2022-06-26,2.394160583941606,6.487949989192155,54.0,12.727922061357855,22.554878048780488,0.01760412194074707,0.04770551462641301,0.04716929461455009,0.20608275801644776,0.5588191552647233,0.005823358136525397,0.056994277190507994,0.0638804245050067,0.2803873469050121,0.07834066303237061,4,0.9562043795620438,3,54.0,12.727922061357855,Euler
7,132,166,2022-06-27,2.515151515151515,6.321518863392444,52.0,2.8284271247461903,20.674698795180724,0.019199629886652733,0.0482558691862021,0.13298043748689015,0.31254673232798497,0.5746842792858181,0.01673056814220983,0.060981215512119415,0.06234173603636908,0.2848386507976205,0.07009186758086428,3,0.9696969696969697,3,52.0,2.8284271247461903,Euler
8,88,106,2022-06-28,2.409090909090909,4.652613561984034,31.5,3.5355339059327378,13.075471698113207,0.02769070010449326,0.05347831680441429,0.0664046254010296,0.23093483443945503,0.5985226059095764,0.013748854262144821,0.07334368398321216,0.07780183741439146,0.2723359057978927,0.06323686549287966,2,0.9772727272727273,3,31.5,3.5355339059327378,Euler
9,130,160,2022-06-29,2.4615384615384617,5.421967728500127,41.5,13.435028842544403,16.859375,0.01908169350029817,0.04203075758527233,0.06932900306524595,0.2174101082598397,0.61533203125,0.014084507042253521,0.054916374604820406,0.06864948234780557,0.2607816958437173,0.06813924405268691,3,0.9692307692307692,2,41.5,13.435028842544403,Euler
10,99,104,2022-06-30,2.101010101010101,3.1183948955170435,20.0,7.0710678118654755,9.519230769230768,0.021438878581735685,0.0318203560767045,0.0,0.0,0.6993805473372781,0.0,0.05738945272458781,0.08292722534168123,0.166625552623687,0.07803454869739146,7,0.8282828282828283,4,20.0,7.0710678118654755,Euler
11,147,219,2022-07-01,2.979591836734694,7.839546209046081,62.0,22.627416997969522,20.80821917808219,0.020408163265306114,0.05369552197976764,0.1315921906558161,0.32884051505224965,0.5315151894247409,0.010365853658536586,0.049128258407932335,0.06647704780512048,0.29200355505486675,0.06074827426230989,2,0.9795918367346939,2,62.0,22.627416997969522,Euler
12,161,220,2022-07-02,2.732919254658385,7.7385058021357676,63.5,31.81980515339464,23.235227272727276,0.017080745341614977,0.04836566126334877,0.10434468525463735,0.30088293875101557,0.5506198347107437,0.008700696055684454,0.04915608416096673,0.06179463881395548,0.29120933952224676,0.06634408658409385,2,0.9813664596273292,2,63.5,31.81980515339464,Euler
13,188,318,2022-07-03,3.382978723404255,13.390959024398786,131.0,15.556349186104045,38.723270440251575,0.018090795312322258,0.07160940654758693,0.04377467726896458,0.19095010261504936,0.29505359756338756,0.0015407441223464961,0.04953739826285041,0.053670448186123314,0.3274882110393644,0.09559547947449716,5,0.9574468085106383,3,131.0,15.556349186104045,Euler
14,74,88,2022-07-04,2.3783783783783785,3.809514774058853,21.5,7.7781745930520225,9.039772727272727,0.03258052573121072,0.05218513389121723,0.04650900900900901,0.20140302569959737,0.6102789256198348,0.009216589861751152,0.0658274871478771,0.09646767527660612,0.17954782097528482,0.0982540134597829,8,0.7567567567567568,4,21.5,7.7781745930520225,Euler
15,79,87,2022-07-05,2.2025316455696204,4.15833961821254,25.0,7.0710678118654755,11.350574712643677,0.028237585199610477,0.05331204638734026,0.025449700199866757,0.13888286278597015,0.6372704452371516,0.007702182284980745,0.0706082944629311,0.08815364148054276,0.2114296393222558,0.0678770862981225,2,0.7974683544303798,2,25.0,7.0710678118654755,Euler
