"Player_Name","Season","Team","CapHit","S.C","Games_Played","GS","Wins","Losses","T","OT","SA","Svs","GA","Svpercent","GAA","TOI","SO","G","A","P","PIM","Cap_Hit","Sv_percent","TOI_minutes","Cap_Hit_Bin","Wins_per_M","SvPct_per_M","SO_per_M","Predicted_Wins","Wins_Bin","Cap_Percent","Predicted_Cap_Hit"
"Jake Allen","2024-2025","NJD",3850000,"L",31,29,13,16,"--",1,819,744,77,0.908,2.66,"1738:10:00",4,0,0,0,0,3.85,0.908,1738.16666666667,"High",3.37662337662338,0.235844155844156,1.03896103896104,14.9274971966967,"Mid-High",0.04375,0.0303161500862839
"Jake Oettinger","2024-2025","DAL",4000000,"L",58,58,36,18,"--",4,1611,1464,147,0.909,2.59,"3410:04:00",2,0,1,1,0,4,0.909,3410.06666666667,"High",9,0.22725,0.5,29.61086333157,"High",0.0454545454545455,0.0557557802767063
"Jakub Dobes","2024-2025","MTL",925000,"L",16,15,7,4,"--",3,440,400,40,0.909,2.74,"874:47:00",1,0,0,0,0,0.925,0.909,874.783333333333,"Mid-Low",7.56756756756757,0.982702702702703,1.08108108108108,7.0085855877374,"Mid-Low",0.0105113636363636,0.0188845739399602
"Jakub Skarek","2024-2025","NYI",775000,"L",2,1,0,1,"--",0,39,34,5,0.872,3.94,"76:09:00",0,0,0,0,0,0.775,0.872,76.15,"Low",0,1.12516129032258,0,-0.448874566545967,"Low",0.00880681818181818,0.00891094730630995
"James Reimer","2024-2025","BUF",1000000,"L",24,21,10,10,"--",2,662,594,69,0.897,3.04,"1362:50:00",1,0,0,0,0,1,0.897,1362.83333333333,"Mid-Low",10,0.897,1,11.15275465933,"Mid-Low",0.0113636363636364,0.0255411973751855
"Jaxson Stauber","2024-2025","UTA",775000,"L",6,4,2,1,"--",1,158,141,17,0.892,3.26,"313:11:00",1,0,0,0,0,0.775,0.892,313.183333333333,"Low",2.58064516129032,1.15096774193548,1.29032258064516,1.86605877399803,"Low",0.00880681818181818,0.011602733338291
"Jeremy Swayman","2024-2025","BOS",8250000,"L",58,58,22,29,"--",7,1632,1456,176,0.892,3.11,"3390:35:00",4,0,0,0,2,8.25,0.892,3390.58333333333,"High",2.66666666666667,0.108121212121212,0.484848484848485,29.7670148178704,"High",0.09375,0.0518399289351984
"Jesper Wallstedt","2024-2025","MIN",925000,"L",2,2,0,2,"--",0,51,43,8,0.843,4.09,"117:26:00",0,0,0,0,2,0.925,0.843,117.433333333333,"Mid-Low",0,0.911351351351351,0,-0.412817022613868,"Low",0.0105113636363636,0.0101598145720026
"Jet Greaves","2024-2025","CBJ",812500,"L",11,11,7,2,"--",2,339,318,21,0.938,1.91,"660:06:00",2,0,0,0,0,0.8125,0.938,660.1,"Mid-Low",8.61538461538461,1.15446153846154,2.46153846153846,5.45748589725823,"Mid-Low",0.00923295454545455,0.0157034420327248
"Joel Blomqvist","2024-2025","PIT",886667,"L",15,12,4,9,"--",1,425,376,49,0.885,3.81,"772:27:00",0,0,0,0,0,0.886667,0.885,772.45,"Mid-Low",4.51127649952011,0.998119925518825,0,5.82191083750939,"Mid-Low",0.0100757613636364,0.0175053817842278
"Joel Hofer","2024-2025","STL",775000,"L",31,28,16,8,"--",3,767,693,74,0.904,2.64,"1678:49:00",1,0,1,1,2,0.775,0.904,1678.81666666667,"Low",20.6451612903226,1.16645161290323,1.29032258064516,13.9772284581108,"Mid-High",0.00880681818181818,0.0306552707677957
"Joey Daccord","2024-2025","SEA",1200000,"L",57,55,27,23,"--",5,1599,1449,151,0.906,2.75,"3295:15:00",2,0,2,2,0,1.2,0.906,3295.25,"Mid-High",22.5,0.755,1.66666666666667,28.2205685727538,"High",0.0136363636363636,0.0518829052947495
