,token_address,from_address,to_address,block_timestamp,value,from_ID,to_ID,timestamp
0,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x0000000000000000000000000000000000000000,0x25aa4a183800ecab962d84ccc7ada58d4e126992,2021-12-30 20:04:41.000,2.718281828459045e+25,1002,2965,2021-12-30
1,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,2022-06-21 15:56:28.000,1.6989261e+23,2965,3400,2022-06-21
2,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0xb1dc7fe020c15cbc2fb9b304d1999282b9aaa14a,2022-06-21 20:29:06.000,1.6989261e+23,3400,2377,2022-06-21
3,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x7597851f3fd386a13b5784677ae8a569bdb33a95,2022-06-22 15:13:14.000,1e+18,2965,2470,2022-06-22
4,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xc8d9c7a7241a122df3e24aa1da0d7fdbdb632fda,2022-06-22 15:16:45.000,1e+18,2965,258,2022-06-22
5,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xcb8efb0c065071e4110932858a84365a80c8fef0,2022-06-22 17:08:31.000,1e+18,2965,1124,2022-06-22
6,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,2022-06-22 17:11:31.000,1.3591409e+23,2965,3400,2022-06-22
7,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0x0234a7402ee7f7e375283fb7bf118751e9d9fdab,2022-06-22 17:20:37.000,1.3591409e+23,3400,423,2022-06-22
8,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x0234a7402ee7f7e375283fb7bf118751e9d9fdab,0x2ab8019a3191861f8235ec9fc5a9087d04682480,2022-06-22 17:33:32.000,3.220392454988251e+22,423,1005,2022-06-22
9,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x7597851f3fd386a13b5784677ae8a569bdb33a95,2022-06-22 18:47:59.000,4.0094646963e+24,2965,2470,2022-06-22
